applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,estimated_debt,DTI,approved,credit_limit,interest_rate
APP00001,49702.71865901624,536.6908033030757,696.5764939396047,48201.45829284102,44.0,BC,Full-time,282.0,762.506983622944,96243.13873499089,24.073823692231006,6.0,5.0,Late>60,695.0821060479298,0.6465199643924437,0.0,0.0,7.5
APP00002,57759.265798905486,904.9565213898561,4680.780391908967,36704.574102262,60.0,ON,Unemployed,0.0,504.12822468372167,38015.73158587844,28.658793243770404,16.0,4.0,Late>60,326.8454974591087,0.4846888289832173,0.0,0.0,10.5
APP00003,61225.0052453479,672.3132837921758,10351.975031465567,32569.900660394607,51.0,ON,Unemployed,0.0,687.0285439461321,78465.24317366307,34.311307182174424,7.0,3.0,On Time,807.6735184966705,0.4815843746693446,1.0,15000.0,6.5
APP00004,38254.62913590969,773.5565076115638,9808.978559188912,14815.106947211167,68.0,ON,Full-time,77.0,771.5723342678676,45526.074871297016,45.56798581752478,18.0,6.0,Late>60,622.3594602188501,0.5773008551854002,0.0,0.0,7.5
APP00005,69491.33206728783,1260.890908898148,4843.509163111019,10049.65760299652,61.0,BC,Part-time,314.0,770.2795480460687,131466.0053260941,22.865260174309178,18.0,6.0,On Time,901.8013247574772,0.42552333738995984,1.0,17372.833016821958,5.5
APP00006,36535.064686946054,397.69052073840857,8970.915947352809,7869.627833828633,88.0,BC,Full-time,246.0,670.9899631555725,72401.90180198666,26.986969561523487,20.0,1.0,Late>60,315.82517041137453,0.4006950831190322,0.0,0.0,8.5
APP00008,75965.95552911072,1388.846077573486,1035.17101580481,16534.05432788744,51.0,BC,Part-time,213.0,601.6583809330194,110680.37558555396,4.5715515152068855,0.0,8.0,On Time,151.7943116135419,0.3217223301945862,0.0,0.0,7.5
APP00009,24255.040436513824,457.3377496500078,9701.816450685727,26321.853596074536,73.0,BC,Unemployed,0.0,873.3302835902617,60019.52174706403,39.832669187447,20.0,9.0,On Time,585.1138530859652,0.6482461535068916,1.0,8478.757030983594,5.5
APP00011,44101.023264051146,844.6034269567377,5637.260506570946,38696.611013887705,59.0,BC,Part-time,355.0,793.9367317105945,49401.18442866469,53.48847200240176,8.0,9.0,On Time,792.7181610594349,0.7614027189379345,1.0,8820.20465281023,5.5
APP00013,40694.45643928117,747.12112507475,3336.0045943746863,1340.971060279011,36.0,BC,Part-time,189.0,778.3995056601374,62014.98066562381,27.954451973247863,15.0,10.0,On Time,779.7052438903056,0.38553517433283224,1.0,15260.42116473044,5.5
APP00014,54645.12713239993,474.0245933568635,7038.4616673997,16484.947397351763,66.0,ON,Part-time,194.0,593.0798482700724,85613.30577494767,12.247966416134375,20.0,8.0,On Time,314.57666817174066,0.28177802869929264,0.0,0.0,7.5
APP00016,87471.71753086317,1425.2519431952333,4295.880829755731,40765.95073931801,73.0,ON,Unemployed,0.0,760.6537299752245,71331.9317697721,54.94472905322776,4.0,9.0,On Time,1283.4597381590133,0.5393775699643549,1.0,17494.343506172634,4.5
APP00017,43398.86805773039,598.852964701174,6789.841513408187,34106.647120092406,55.0,BC,Unemployed,0.0,774.6759184678258,30800.942393264708,40.014102819914136,0.0,0.0,On Time,298.84092088701055,0.5311364241027846,1.0,10849.717014432597,4.5
APP00019,100626.54573047944,1522.9611780148643,3290.28975338974,7857.0325689039755,41.0,BC,Part-time,345.0,735.010963418981,157559.13745631027,38.41260463144415,16.0,3.0,On Time,1815.6770559541828,0.42625124633928574,1.0,15000.0,6.5
